,adjectives,century,nouns,poem_id,rhymes,rhyming_adjectives,rhyming_nouns,rhyming_verbs,verbs,words
4390,17,xx,40,4390,18,0,13,5,17,155
4391,2,xx,11,4391,8,1,7,0,3,38
4392,4,xx,30,4392,12,1,5,2,9,88
4393,18,xx,50,4393,18,3,8,5,22,174
4394,18,xx,52,4394,22,2,19,1,15,158
4395,2,xx,3,4395,4,0,2,0,1,39
4396,11,xx,26,4396,18,0,16,2,4,87
4397,11,xx,48,4397,30,1,19,6,16,145
4398,5,xx,26,4398,18,0,9,6,20,121
4399,12,xx,67,4399,40,4,25,3,22,232
4400,16,xx,41,4400,18,2,13,3,18,121
4401,6,xx,19,4401,12,2,8,1,1,62
4402,6,xx,14,4402,8,0,6,1,4,49
4403,14,xx,74,4403,60,7,31,9,34,289
4404,6,xx,43,4404,12,1,9,2,9,105
4405,10,xx,35,4405,36,0,18,8,23,170
4406,18,xx,32,4406,14,1,10,0,12,116
4407,5,xx,26,4407,28,1,11,2,7,143
4408,25,xx,54,4408,26,1,11,11,29,209
4409,2,xx,7,4409,4,1,0,2,4,36
4410,7,xx,17,4410,12,1,8,3,8,73
4411,0,xx,7,4411,2,0,1,0,0,18
4412,11,xx,65,4412,28,1,19,2,22,207
4413,20,xx,53,4413,44,2,27,10,23,217
4414,4,xx,14,4414,6,0,5,1,5,50
4415,4,xx,33,4415,20,0,16,2,14,118
4416,9,xx,41,4416,20,0,10,4,23,161
4417,7,xx,31,4417,16,1,8,5,8,76
4418,42,xx,119,4418,50,0,38,8,54,425
4419,0,xx,6,4419,2,0,2,0,2,18
4420,26,xx,94,4420,56,2,43,6,22,276
4421,2,xx,20,4421,14,0,12,2,11,69
4422,17,xx,62,4422,32,6,21,4,25,182
4423,9,xx,32,4423,16,3,7,5,14,125
4424,28,xx,111,4424,54,3,42,4,38,312
4425,33,xx,64,4425,28,2,20,3,20,219
4426,4,xx,24,4426,14,2,7,4,13,77
4427,0,xx,15,4427,6,0,4,0,4,50
4428,8,xx,37,4428,24,2,11,8,12,145
